[s],CH1[V]
-2.4999E-02,-2.991850066E-02
-2.4994E-02,-2.943009353E-02
-2.4989E-02,-2.970255828E-02
-2.4984E-02,-2.862546706E-02
-2.4979E-02,-2.783496642E-02
-2.4974E-02,-2.627561545E-02
-2.4969E-02,-2.662223792E-02
-2.4964E-02,-2.709055305E-02
-2.4959E-02,-2.617306495E-02
-2.4954E-02,-2.585762382E-02
-2.4949E-02,-2.650035453E-02
-2.4944E-02,-2.778383422E-02
-2.4939E-02,-3.037785697E-02
-2.4934E-02,-3.304169059E-02
-2.4929E-02,-3.736895156E-02
-2.4924E-02,-3.943694091E-02
-2.4919E-02,-3.862358069E-02
-2.4914E-02,-3.466899657E-02
-2.4909E-02,-3.075790763E-02
-2.4904E-02,-2.679580474E-02
-2.4899E-02,-2.454870772E-02
-2.4894E-02,-2.599710631E-02
-2.4889E-02,-2.858925796E-02
-2.4884E-02,-2.860013366E-02
-2.4879E-02,-2.921013999E-02
-2.4874E-02,-3.054098868E-02
-2.4869E-02,-3.122211051E-02
-2.4864E-02,-2.893866706E-02
-2.4859E-02,-2.831970763E-02
-2.4854E-02,-2.883853698E-02
-2.4849E-02,-3.005213904E-02
-2.4844E-02,-3.025767493E-02
-2.4839E-02,-3.029927611E-02
-2.4834E-02,-3.250578475E-02
-2.4829E-02,-3.246377349E-02
-2.4824E-02,-3.287009788E-02
-2.4819E-02,-3.183369613E-02
-2.4814E-02,-2.965006804E-02
-2.4809E-02,-2.838368773E-02
-2.4804E-02,-2.715381598E-02
-2.4799E-02,-2.882850623E-02
-2.4794E-02,-2.798978400E-02
-2.4789E-02,-2.846947646E-02
-2.4784E-02,-3.091946959E-02
-2.4779E-02,-3.183177543E-02
-2.4774E-02,-3.118500304E-02
-2.4769E-02,-2.852797484E-02
-2.4764E-02,-2.957657981E-02
-2.4759E-02,-2.918442893E-02
-2.4754E-02,-3.027230430E-02
-2.4749E-02,-3.111198020E-02
-2.4744E-02,-3.241944861E-02
-2.4739E-02,-3.399291587E-02
-2.4734E-02,-3.336032271E-02
-2.4729E-02,-3.244674850E-02
-2.4724E-02,-2.973713279E-02
-2.4719E-02,-2.979043746E-02
-2.4714E-02,-3.238962913E-02
-2.4709E-02,-3.223344398E-02
-2.4704E-02,-3.088305831E-02
-2.4699E-02,-3.147954535E-02
-2.4694E-02,-3.307724357E-02
-2.4689E-02,-3.172994399E-02
-2.4684E-02,-3.075709510E-02
-2.4679E-02,-2.921248984E-02
-2.4674E-02,-2.841098762E-02
-2.4669E-02,-2.927662253E-02
-2.4664E-02,-2.788333297E-02
-2.4659E-02,-2.975754333E-02
-2.4654E-02,-2.990117621E-02
-2.4649E-02,-3.092028403E-02
-2.4644E-02,-3.170480323E-02
-2.4639E-02,-3.227590728E-02
-2.4634E-02,-3.214053130E-02
-2.4629E-02,-3.160931182E-02
-2.4624E-02,-3.254658484E-02
-2.4619E-02,-3.343078780E-02
-2.4614E-02,-3.082752585E-02
-2.4609E-02,-2.931743026E-02
-2.4604E-02,-3.197133613E-02
-2.4599E-02,-3.359019637E-02
-2.4594E-02,-3.180466819E-02
-2.4589E-02,-3.090177703E-02
-2.4584E-02,-3.130368781E-02
-2.4579E-02,-3.188513541E-02
-2.4574E-02,-3.261427474E-02
-2.4569E-02,-3.275816894E-02
-2.4564E-02,-3.127792335E-02
-2.4559E-02,-2.931761527E-02
-2.4554E-02,-3.129434562E-02
-2.4549E-02,-2.925541854E-02
-2.4544E-02,-2.776088500E-02
-2.4539E-02,-2.967695212E-02
-2.4534E-02,-3.033801055E-02
-2.4529E-02,-3.078745818E-02
-2.4524E-02,-2.827306533E-02
-2.4519E-02,-2.726511741E-02
-2.4514E-02,-2.831235862E-02
-2.4509E-02,-2.675292182E-02
-2.4504E-02,-2.775577712E-02
-2.4498E-02,-2.952751517E-02
-2.4493E-02,-3.027433372E-02
-2.4488E-02,-3.113266540E-02
-2.4483E-02,-3.382428336E-02
-2.4478E-02,-3.532790542E-02
-2.4473E-02,-3.490989089E-02
-2.4468E-02,-3.456514907E-02
-2.4463E-02,-3.284479880E-02
-2.4458E-02,-3.062207007E-02
-2.4453E-02,-2.850260139E-02
-2.4448E-02,-2.737916350E-02
-2.4443E-02,-2.845218825E-02
-2.4438E-02,-2.841524863E-02
-2.4433E-02,-3.015552497E-02
-2.4428E-02,-3.160636878E-02
